['isotopologue.name', 'exomol_ID', 'wavenumber', 'K_mu', 'upper.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega', 'lower.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega']
['27Al16O', '24 - 633', 53.190826, 35.097781711454644, 12006.941941, 2.0, 0.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5, 11953.751114, 4.0, 1.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '24 - 223', 53.214883, 34.99190254726259, 12006.941941, 2.0, 0.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5, 11953.727057, 2.0, 0.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '4234 - 4033', 53.286789, 32.152809958205516, 12067.133933, 22.0, 10.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5, 12013.847144, 22.0, 10.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '4234 - 3633', 53.607504, 30.909665184188317, 12067.133933, 22.0, 10.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5, 12013.526429, 20.0, 9.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '3634 - 3833', 53.853862, 32.38133599406453, 12056.587409, 20.0, 9.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 12002.733546, 20.0, 9.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '2030 - 2629', 54.085889, 41.5783125983191, 11241.23676, 12.0, 5.5, '+', 'f', 'A2PI', 0, 1, 0.5, 1.5, 11187.150871, 14.0, 6.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '3634 - 3433', 54.113211, 31.37071278213319, 12056.587409, 20.0, 9.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 12002.474197, 18.0, 8.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '4420 - 4619', 54.211062, -25.233410848877536, 8775.070984, 24.0, 11.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5, 8720.859922, 24.0, 11.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5]
['27Al16O', '3434 - 3233', 54.329865, 32.56882747637987, 12047.056011, 18.0, 8.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5, 11992.726145, 18.0, 8.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '224 - 23', 54.343564, 34.245637625092606, 12006.974362, 2.0, 0.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5, 11952.630798, 2.0, 0.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
